Neighborhood,Year,Population,0-9 years,10-19 years,20-34 years,35-54 years,55-64 years,65 years and over,less than High School,High School or GED,Some College or Associate's Degree,Bachelor's Degree or Higher,Foreign Born,White,Black/ African American,Hispanic,Asian/PI,Other,Occupied Housing Units,Owner-occupied,Renter-occupied
Allston,2000,19075,924,2907,11647,2422,566,609,1603,1503,1128,4716,6457,11253,973,2545,3397,907,7292,709,6583
Allston,2001,19398.7,907.9,2954.7,11927.4,2412,586.2,610.5,1543.8,1468.533333,1137.133333,4907.933333,6480.466667,11408.5,983.2,2570.4,3508.3,928.3,7326.6,719.1,6607.5
Allston,2002,19722.4,891.8,3002.4,12207.8,2402,606.4,612,1484.6,1434.066667,1146.266667,5099.866667,6503.933333,11564,993.4,2595.8,3619.6,949.6,7361.2,729.2,6632
Allston,2003,20046.1,875.7,3050.1,12488.2,2392,626.6,613.5,1425.4,1399.6,1155.4,5291.8,6527.4,11719.5,1003.6,2621.2,3730.9,970.9,7395.8,739.3,6656.5
Allston,2004,20369.8,859.6,3097.8,12768.6,2382,646.8,615,1366.2,1365.133333,1164.533333,5483.733333,6550.866667,11875,1013.8,2646.6,3842.2,992.2,7430.4,749.4,6681
Allston,2005,20693.5,843.5,3145.5,13049,2372,667,616.5,1307,1330.666667,1173.666667,5675.666667,6574.333333,12030.5,1024,2672,3953.5,1013.5,7465,759.5,6705.5
Allston,2006,21017.2,827.4,3193.2,13329.4,2362,687.2,618,1247.8,1296.2,1182.8,5867.6,6597.8,12186,1034.2,2697.4,4064.8,1034.8,7499.6,769.6,6730
Allston,2007,21340.9,811.3,3240.9,13609.8,2352,707.4,619.5,1188.6,1261.733333,1191.933333,6059.533333,6621.266667,12341.5,1044.4,2722.8,4176.1,1056.1,7534.2,779.7,6754.5
Allston,2008,21664.6,795.2,3288.6,13890.2,2342,727.6,621,1129.4,1227.266667,1201.066667,6251.466667,6644.733333,12497,1054.6,2748.2,4287.4,1077.4,7568.8,789.8,6779
Allston,2009,21988.3,779.1,3336.3,14170.6,2332,747.8,622.5,1070.2,1192.8,1210.2,6443.4,6668.2,12652.5,1064.8,2773.6,4398.7,1098.7,7603.4,799.9,6803.5
Allston,2010,22312,763,3384,14451,2322,768,624,1011,1158.333333,1219.333333,6635.333333,6691.666667,12808,1075,2799,4510,1120,7638,810,6828
Allston,2011,21722.2,720.4,3245.4,14177.6,2199.8,749.4,629.6,951.8,1123.866667,1228.466667,6827.266667,6715.133333,12345.2,1098.8,2774,4448,1056.2,7401.8,774.2,6627.6
Allston,2012,21132.4,677.8,3106.8,13904.2,2077.6,730.8,635.2,892.6,1089.4,1237.6,7019.2,6738.6,11882.4,1122.6,2749,4386,992.4,7165.6,738.4,6427.2
Allston,2013,20542.6,635.2,2968.2,13630.8,1955.4,712.2,640.8,833.4,1054.933333,1246.733333,7211.133333,6762.066667,11419.6,1146.4,2724,4324,928.6,6929.4,702.6,6226.8
Allston,2014,19952.8,592.6,2829.6,13357.4,1833.2,693.6,646.4,774.2,1020.466667,1255.866667,7403.066667,6785.533333,10956.8,1170.2,2699,4262,864.8,6693.2,666.8,6026.4
Allston,2015,19363,550,2691,13084,1711,675,652,715,986,1265,7595,6809,10494,1194,2674,4200,801,6457,631,5826
Allston,2016,19312,479.5,2690.5,13065,1588.8,656.4,657.6,643,879.5,1254.5,7719.5,4341,10166.5,1146.5,2630,4505.5,863.5,6491.5,713.5,5778
Allston,2017,19261,409,2690,13046,1466.6,637.8,663.2,571,773,1244,7844,1873,9839,1099,2586,4811,926,6526,796,5730
Allston,2018,21142,338.5,2689.5,13027,1344.4,619.2,668.8,499,666.5,1233.5,7968.5,0,10738,1174.666667,2810.333333,5297.666667,1121.333333,7693,878.5,5682
Allston,2019,23023,268,2689,13008,1222.2,600.6,674.4,427,560,1223,8093,0,11637,1250.333333,3034.666667,5784.333333,1316.666667,8860,961,5634
Allston,2020,24904,197.5,2688.5,12989,1100,582,680,355,453.5,1212.5,8217.5,0,12536,1326,3259,6271,1512,10027,1043.5,5586
Brighton,2000,50573,3051,2834,26560,9531,2657,5940,4180,5870,5252,18391,15559,36582,2137,3791,6214,1849,23213,5271,17942
Brighton,2001,50784.2,3012.7,2867.4,26893.3,9415.4,2712,5883.4,4108.466667,5781.933333,5225.933333,18717.66667,15394.4,36599.9,2158.9,3876,6298.4,1851,23188.9,5306.4,17882.5
Brighton,2002,50995.4,2974.4,2900.8,27226.6,9299.8,2767,5826.8,4036.933333,5693.866667,5199.866667,19044.33333,15229.8,36617.8,2180.8,3961,6382.8,1853,23164.8,5341.8,17823
Brighton,2003,51206.6,2936.1,2934.2,27559.9,9184.2,2822,5770.2,3965.4,5605.8,5173.8,19371,15065.2,36635.7,2202.7,4046,6467.2,1855,23140.7,5377.2,17763.5
Brighton,2004,51417.8,2897.8,2967.6,27893.2,9068.6,2877,5713.6,3893.866667,5517.733333,5147.733333,19697.66667,14900.6,36653.6,2224.6,4131,6551.6,1857,23116.6,5412.6,17704
Brighton,2005,51629,2859.5,3001,28226.5,8953,2932,5657,3822.333333,5429.666667,5121.666667,20024.33333,14736,36671.5,2246.5,4216,6636,1859,23092.5,5448,17644.5
Brighton,2006,51840.2,2821.2,3034.4,28559.8,8837.4,2987,5600.4,3750.8,5341.6,5095.6,20351,14571.4,36689.4,2268.4,4301,6720.4,1861,23068.4,5483.4,17585
Brighton,2007,52051.4,2782.9,3067.8,28893.1,8721.8,3042,5543.8,3679.266667,5253.533333,5069.533333,20677.66667,14406.8,36707.3,2290.3,4386,6804.8,1863,23044.3,5518.8,17525.5
Brighton,2008,52262.6,2744.6,3101.2,29226.4,8606.2,3097,5487.2,3607.733333,5165.466667,5043.466667,21004.33333,14242.2,36725.2,2312.2,4471,6889.2,1865,23020.2,5554.2,17466
Brighton,2009,52473.8,2706.3,3134.6,29559.7,8490.6,3152,5430.6,3536.2,5077.4,5017.4,21331,14077.6,36743.1,2334.1,4556,6973.6,1867,22996.1,5589.6,17406.5
Brighton,2010,52685,2668,3168,29893,8375,3207,5374,3464.666667,4989.333333,4991.333333,21657.66667,13913,36761,2356,4641,7058,1869,22972,5625,17347
Brighton,2011,52505,2788.6,3183.2,29394.2,8367.4,3233.6,5538,3393.133333,4901.266667,4965.266667,21984.33333,13748.4,36143.6,2342.2,4834.6,7294.6,1890,22698.6,5523.4,17175.2
Brighton,2012,52325,2909.2,3198.4,28895.4,8359.8,3260.2,5702,3321.6,4813.2,4939.2,22311,13583.8,35526.2,2328.4,5028.2,7531.2,1911,22425.2,5421.8,17003.4
Brighton,2013,52145,3029.8,3213.6,28396.6,8352.2,3286.8,5866,3250.066667,4725.133333,4913.133333,22637.66667,13419.2,34908.8,2314.6,5221.8,7767.8,1932,22151.8,5320.2,16831.6
Brighton,2014,51965,3150.4,3228.8,27897.8,8344.6,3313.4,6030,3178.533333,4637.066667,4887.066667,22964.33333,13254.6,34291.4,2300.8,5415.4,8004.4,1953,21878.4,5218.6,16659.8
Brighton,2015,51785,3271,3244,27399,8337,3340,6194,3107,4549,4861,23291,13090,33674,2287,5609,8241,1974,21605,5117,16488
Brighton,2016,53541,3220.5,3399.5,28290,8339.068734,3340.828784,6195.536973,2578.5,3604.5,4769,14384,19963,33478,19153,3994,7465,5067,22151.5,5166.5,16985
Brighton,2017,55297,3170,3555,29181,8341.136956,3341.657363,6197.073564,2050,2660,4677,5477,26836,33282,36019,2379,6689,8160,22698,5216,17482
Brighton,2018,54213.66667,3170.785821,3555.881259,29188.23376,8343.204665,3342.485736,6198.609775,2050.50818,2660.659395,4678.159395,5478.357709,26842.65245,33086,24817.33333,3378,7360.333333,6393.333333,22643.66667,5217.293009,17486.33366
